author_name,formatted_time,text,sentiment,score,response
Kotarou Kenji,-1:55,where is shaaaakk,NEGATIVE,0.9956641793251038,The user said: where is shaaaakk. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
Powster,-1:55,whos joining the guraid?,NEGATIVE,0.9960850477218628,The user said: whos joining the guraid?. Sentiment: NEGATIVE. Respond appropriately: I'm not sure.
D3ividdo Xe,-1:56,double drifftream,NEGATIVE,0.9415892362594604,The user said: double drifftream. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
spencer,-1:56,a,POSITIVE,0.9872909188270569,The user said: a. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.
KarmaTy,-1:56,Guda~,POSITIVE,0.9088782072067261,The user said: Guda~. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSIT
iCheero,-1:56,Shak,NEGATIVE,0.9985947012901306,The user said: Shak. Sentiment: NEGATIVE. Respond appropriately: NEGative.
Michael Bolton,-1:57,Chumbud reporting in,NEGATIVE,0.9288563132286072,The user said: Chumbud reporting in. Sentiment: NEGATIVE. Respond appropriately: NEGative.
PureRok,-1:57,a [EMOJI: shark],NEGATIVE,0.9945799112319946,The user said: a [EMOJI: shark]. Sentiment: NEGATIVE. Respond appropriately: NEGative.
Sammy,-1:58,[EMOJI: shark][EMOJI: shark][EMOJI: shark][EMOJI: virtualhug][EMOJI: virtualhug][EMOJI: virtualhug],NEGATIVE,0.9955991506576538,The user said: [EMOJI: shark][EMOJI: shark][EMOJI: shark][EMOJI: virtualhug][EMOJI: virtualhug][EMOJI: virtualhug]. Sentiment: NEGATIVE. Respond appropriately: NEGative.
Nebula,-1:58,[EMOJI: trident_emblem],NEGATIVE,0.9779953956604004,The user said: [EMOJI: trident_emblem]. Sentiment: NEGATIVE. Respond appropriately: NEGative : NEGative
Esteban,-1:58,a[EMOJI: shark],NEGATIVE,0.9945799112319946,The user said: a[EMOJI: shark]. Sentiment: NEGATIVE. Respond appropriately: NEGative.
Devin11,-1:59,DUAL MONITOR GANG,NEGATIVE,0.9871248602867126,The user said: DUAL MONITOR GANG. Sentiment: NEGATIVE. Respond appropriately: NEGative.
KwimsonKami,-1:59,shark pog,NEGATIVE,0.9853851199150085,The user said: shark pog. Sentiment: NEGATIVE. Respond appropriately: shark pog.Sentiment : NEGative.Response : shark pog.Response : shark pog.Response : shark pog.Response : shark pog.Response : shark pog.Response : shark pog.Response : shark pog.Response : shark pog.Response : shark pog.Response : shark pog.Response : shark pog.Response : shark pog
Arkserion,0:00,maybe gura watching amelia's stream,NEGATIVE,0.7877375483512878,The user said: maybe gura watching amelia's stream. Sentiment: NEGATIVE. Respond appropriately: I'm not sure if you're being serious or not.
Rie_,0:00,ikan hiu makan tomat,NEGATIVE,0.9834439754486084,The user said: ikan hiu makan tomat. Sentiment: NEGATIVE. Respond appropriately: NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.NEGative.N
地板好涼,0:00,ã,POSITIVE,0.9872909188270569,The user said: ã. Sentiment: POSITIVE. Respond appropriately: POSITIVE.
Lorence,0:00,a[EMOJI: shark],NEGATIVE,0.9945799112319946,The user said: a[EMOJI: shark]. Sentiment: NEGATIVE. Respond appropriately: NEGative.
BallCharge,0:00,chum,NEGATIVE,0.9971165657043457,The user said: chum. Sentiment: NEGATIVE. Respond appropriately: NEGative.
Sean,0:00,shaaaaaa,NEGATIVE,0.9882258176803589,The user said: shaaaaaa. Sentiment: NEGATIVE. Respond appropriately: NEGative.
cascade s.o.s,0:00,gotta open those tabs,POSITIVE,0.9676105976104736,The user said: gotta open those tabs. Sentiment: POSITIVE. Respond appropriately: POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POSITIVE.POS
Mono,0:01,LET'S GOOOO!!!! AAAAAAAA!!!!!,NEGATIVE,0.9494068026542664,The user said: LET'S GOOOO!!!! AAAAAAAA!!!!!. Sentiment: NEGATIVE. Respond appropriately: I'm not sure what you're trying to say.
Grawe,0:01,Gawr,POSITIVE,0.5225964784622192,The user said: Gawr. Sentiment: POSITIVE. Respond appropriately: POSITIVE.
Okatogurui1234,0:01,a,POSITIVE,0.9872909188270569,The user said: a. Sentiment: POSITIVE. Respond appropriately: POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.POSITive.
mer0n,0:02,LETS GOOOOOOO,NEGATIVE,0.9765681624412537,The user said: LETS GOOOOOOO. Sentiment: NEGATIVE. Respond appropriately: NEGative.
スタインStine,0:03,Chumbuds! A,NEGATIVE,0.9692679643630981,The user said: Chumbuds! A. Sentiment: NEGATIVE. Respond appropriately: NEGative : Chumbuds!
Skyboard,0:03,A [EMOJI: shark],NEGATIVE,0.9945799112319946,The user said: A [EMOJI: shark]. Sentiment: NEGATIVE. Respond appropriately: NEGative
あおねこ,0:04,あ,POSITIVE,0.9739043116569519,The user said: あ. Sentiment: POSITIVE. Respond appropriately: POSITIVE.
C M,0:05,a shaaaaaak,NEGATIVE,0.990120530128479,The user said: a shaaaaaak. Sentiment: NEGATIVE. Respond appropriately: NEGative.
